Rate,Blockheight
22.0,20655669
22.0,20655155
8.0,20654984
8.0,20654983
7.1,20654981
7.1,20654980
22.0,20654066
0.0,20653779
0.0,20653776
0.0,20653751
0.0,20653749
0.0,20653745
0.0,20653637
22.0,20653605
22.0,20653556
0.0,20653292
22.0,20653273
0.0,20653249
0.0,20653244
20.0,20652612
8.3,20652289
8.3,20652274
11.0,20650844
11.0,20650830
9.7,20650631
8.9,20650515
80.0,20650236
0.0,20649909
8.8,20649739
80.0,20649360
20.0,20648950
0.0,20648471
0.0,20646267
0.0,20646249
0.0,20646248
0.0,20646172
0.0,20646170
0.0,20646169
0.0,20645815
0.0,20645698
119.9,20645652
9.1,20644557
9.0,20644557
21.9,20643938
55.1,20643379
55.1,20643365
9.5,20643350
55.3,20643209
55.4,20643123
6.9,20642936
12.0,20642900
0.0,20642555
0.0,20642521
7.6,20642278
7.6,20642276
12.0,20641983
12.0,20641974
7.3,20641446
12.0,20641242
58.9,20641130
6.0,20641007
0.0,20641002
24.0,20640232
24.0,20639852
8.6,20639748
9.1,20638629
20.0,20638465
0.0,20638340
0.0,20638234
0.0,20638230
20.0,20638185
0.0,20638181
13.0,20636744
7.5,20636211
7.1,20636210
8.3,20636193
997.2,20635674
24.0,20635598
20.0,20635530
23.9,20635367
34.9,20635275
34.9,20635275
8.3,20634401
8.3,20634282
0.0,20634003
29.9,20633974
24.0,20633974
29.9,20633974
24.0,20633968
6.9,20633364
13.0,20633180
9.0,20632561
9.1,20632462
6.9,20632250
12.4,20632043
24.0,20631524
119.9,20631458
110.0,20630993
239.9,20628797
8.6,20628205
24.8,20627885
24.8,20627719
8.9,20627108
8.6,20627081
8.6,20627081
8.5,20627075
8.4,20627055
9.0,20626289
24.8,20625968
998.5,20625964
14.4,20625719
14.7,20624876
7.4,20624417
8.6,20624344
0.0,20624008
24.9,20623731
0.0,20623721
0.0,20623693
3.4,20623671
0.0,20623670
0.0,20623625
3.6,20623344
199.9,20623219
998.9,20623118
24.9,20622850
3.9,20622201
24.1,20621926
180.0,20621836
10.0,20621533
88.0,20620920
10.0,20620911
24.1,20620855
0.0,20620820
0.0,20620618
39.0,20620520
39.0,20620507
198.6,20620490
21.8,20620473
29.9,20620422
9.7,20620351
4.9,20619573
5.2,20618687
5.2,20618671
7.7,20617994
6.8,20617580
29.9,20617180
29.9,20617169
7.3,20616178
29.9,20616153
29.9,20615545
29.9,20615322
6.5,20615039
6.6,20614960
7.6,20613488
0.0,20612782
36.4,20612718
7.5,20612406
8.8,20611743
14.5,20611743
0.0,20611490
9.4,20610831
8.2,20610415
0.0,20609893
0.0,20609892
0.0,20609886
0.0,20609885
0.0,20609884
0.0,20609883
8.0,20609679
7.2,20609581
8.4,20609013
86.2,20609006
21.8,20608323
21.8,20608247
10.0,20607933
21.8,20607789
0.0,20607682
20.0,20607446
58.6,20607231
0.0,20607174
58.8,20607154
20.0,20606380
9.1,20606322
9.1,20606318
20.0,20606308
8.9,20606104
9.6,20604711
9.5,20604579
9.5,20604575
67.1,20604088
9.7,20603412
9.4,20603398
8.6,20603248
8.7,20603142
9.7,20602824
72.2,20602534
72.4,20602493
72.6,20602411
9.1,20601851
6.8,20601418
20.4,20600764
21.8,20600343
0.0,20600261
81.1,20600250
9.1,20599802
82.4,20599716
86.6,20598143
14.5,20597533
10.0,20597381
9.9,20597330
9.9,20597294
21.8,20597189
21.0,20597181
14.8,20596547
200.0,20596499
21.9,20596029
21.9,20596022
149.8,20595975
21.9,20595884
6.7,20595773
22.0,20595751
0.0,20595581
10.0,20595466
7.9,20595087
7.9,20595080
7.9,20595067
7.9,20594924
0.0,20594901
7.9,20594891
0.0,20594820
11.7,20594627
24.9,20594616
24.9,20594604
24.9,20594604
11.7,20594570
25.0,20594558
24.5,20594537
24.5,20594535
24.6,20594520
24.6,20594518
24.6,20594501
11.8,20594492
24.7,20594380
24.8,20594380
24.7,20594371
11.9,20594362
24.7,20594356
11.9,20594346
24.7,20594339
24.7,20594330
24.7,20594317
998.8,20594314
8.0,20594308
24.7,20594295
24.9,20594253
24.9,20594253
24.8,20594253
24.9,20594253
10.0,20594101
11.8,20593468
11.9,20593382
11.8,20593162
11.8,20593091
0.0,20592778
23.9,20592753
0.0,20592566
7.0,20591851
0.0,20590711
8.0,20589270
7.0,20588321
8.0,20588261
33.1,20587951
0.0,20587921
0.0,20587871
7.0,20587651
7.0,20587032
6.9,20587028
6.9,20587027
7.0,20586999
6.9,20586996
6.9,20586964
34.9,20586630
997.4,20586615
33.9,20586200
6.9,20586041
7.0,20585842
10.0,20585680
6.9,20585617
33.9,20585480
33.9,20585408
0.0,20584957
298.8,20584737
7.8,20584580
34.9,20584574
34.9,20584352
11.9,20584304
24.9,20584233
24.9,20584228
297.3,20584227
24.0,20583903
119.0,20583638
7.0,20583274
7.0,20583274
0.0,20583033
24.0,20582693
0.0,20582575
24.0,20582514
996.8,20582492
998.9,20582489
998.9,20582485
999.9,20582482
119.9,20582480
0.0,20582469
100.0,20582462
0.0,20582460
17.6,20582456
17.6,20582456
24.5,20582452
24.5,20582452
7.0,20582280
0.0,20582124
35.0,20581435
0.0,20581412
10.0,20581400
35.1,20581373
36.0,20581173
36.1,20581137
36.1,20581132
7.8,20581043
7.1,20581041
996.3,20581035
7.0,20580432
0.0,20580274
0.0,20580260
10.0,20579793
54.1,20579563
7.0,20579118
11.9,20579078
6.9,20578935
6.9,20578691
11.9,20578670
6.9,20578460
7.0,20578193
7.0,20578158
6.8,20577671
11.9,20577575
89.4,20577568
114.7,20577321
997.8,20577319
7.9,20577315
7.9,20577314
10.0,20577313
10.0,20577248
0.0,20577227
6.9,20577096
7.4,20577090
22.8,20576331
0.0,20575578
5.6,20575024
5.6,20575023
10.1,20574816
24.9,20574711
9.9,20574683
1.8,20574398
6.9,20574072
6.9,20574049
1000.0,20573979
6.9,20573905
0.0,20573876
25.3,20573821
2.4,20573812
11.8,20573809
11.8,20573748
11.8,20573746
11.9,20572918
6.9,20572869
11.9,20572867
11.9,20572865
11.9,20572863
11.9,20572858
0.0,20572789
0.0,20572788
0.0,20572775
3.2,20572149
29.0,20571959
6.0,20571589
6.2,20570997
238.6,20570399
29.0,20570206
3.6,20569957
0.0,20569782
3.9,20569175
34.9,20568229
9.2,20568217
4.6,20567240
9.0,20567122
194.7,20565819
991.6,20565785
7.0,20565462
9.1,20565081
9.1,20564828
7.0,20564727
6.9,20562811
0.0,20562234
9.8,20562130
24.0,20561396
7.0,20560586
9.0,20559988
7.0,20559974
6.9,20559660
7.0,20557701
6.6,20556385
7.0,20555348
7.0,20555328
6.9,20554712
7.8,20554703
30.0,20554025
7.9,20553792
7.0,20553686
8.0,20553685
7.9,20553682
30.0,20553536
29.8,20553460
29.9,20553412
29.9,20553374
29.9,20553366
1000.0,20553361
0.0,20553344
0.0,20553339
29.9,20553143
7.0,20553069
0.0,20553067
29.9,20553040
3.9,20552398
30.0,20552072
4.1,20551827
34.9,20549796
175.0,20549644
5.0,20549341
9.2,20548882
29.9,20548756
0.0,20548703
29.9,20548677
0.0,20548659
24.0,20548269
199.9,20548094
7.6,20547549
5.0,20547310
7.9,20545435
119.9,20545385
119.9,20545378
119.9,20545372
7.9,20545361
23.9,20545267
23.9,20545267
5.9,20545231
5.9,20545226
9.0,20544965
5.2,20544365
23.8,20543847
24.0,20542614
24.0,20542435
999.8,20542405
7.9,20542273
23.9,20542252
7.8,20542224
0.0,20541876
117.9,20541783
7.3,20541635
9.0,20541259
9.0,20540733
8.3,20539836
9.0,20539700
119.8,20539565
10.0,20538667
11.4,20538263
5.9,20538217
8.8,20537958
8.8,20537949
24.9,20537922
19.8,20537915
23.5,20537354
13.2,20537209
45.8,20536782
68.0,20536767
23.6,20536749
49.0,20536736
28.9,20534697
19.7,20533401
19.8,20533255
33.9,20532994
19.8,20532912
0.0,20532909
19.8,20532812
15.0,20532705
64.9,20532353
64.9,20532321
11.9,20532310
11.9,20532310
11.9,20532310
7.2,20532210
10.0,20532210
19.7,20532200
7.3,20531893
7.8,20531881
15.0,20531651
5.9,20531649
0.0,20531583
0.0,20531574
15.0,20531429
98.1,20531401
98.2,20531377
5.9,20531358
11.9,20531285
0.0,20531186
0.0,20531173
23.5,20531146
23.6,20531074
0.0,20530976
0.0,20530959
19.9,20530748
11.9,20530738
18.0,20530731
4.9,20530727
5.0,20530319
11.9,20530281
11.9,20530023
7.8,20529750
7.8,20529749
197.3,20527936
11.9,20527797
11.9,20527719
24.0,20527641
11.9,20527626
8.0,20527554
8.0,20527528
998.3,20527507
8.0,20527483
8.0,20527481
0.0,20527062
27.3,20527029
27.1,20527023
27.1,20527012
8.0,20527011
8.0,20526994
0.0,20526933
8.0,20526713
8.0,20526657
29.5,20526226
29.8,20526061
8.0,20525950
0.0,20525829
35.0,20525597
34.8,20525588
34.6,20525483
34.8,20525427
34.9,20525256
0.0,20524604
2.4,20524459
8.0,20524251
8.0,20524212
8.0,20524204
15.0,20524114
2.7,20523446
2.8,20523147
2.8,20523142
0.0,20522916
0.0,20522856
78.0,20522140
7.5,20521921
8.5,20520298
15.0,20520196
0.0,20517563
14.5,20517384
5.1,20515978
5.1,20515973
5.1,20515965
0.0,20515440
8.5,20514982
5.9,20513773
23.0,20513007
8.3,20512397
5.7,20512095
5.7,20512095
0.0,20510230
6.0,20509867
7.4,20508765
7.5,20508748
7.5,20508729
7.7,20508429
23.0,20508161
8.4,20507996
0.0,20507857
23.0,20507285
20.0,20507216
0.0,20507201
20.0,20507198
20.0,20507146
0.0,20506789
0.0,20506783
7.4,20506735
0.0,20506576
0.0,20506288
7.9,20506147
8.0,20506138
0.0,20506027
5.9,20505944
20.0,20505511
20.0,20504125
0.0,20503065
5.6,20501714
5.8,20500961
8.5,20500831
5.9,20500756
5.9,20500742
6.0,20500438
0.0,20500298
6.2,20499892
0.0,20499739
8.9,20499336
0.0,20498945
7.4,20498659
7.4,20498578
20.0,20498496
7.0,20498461
15.0,20497955
11.9,20497794
20.0,20496898
6.1,20494535
0.0,20494435
7.5,20493785
7.7,20493265
6.6,20493261
6.7,20493255
6.7,20493252
9.5,20493251
998.0,20493010
0.0,20492788
0.0,20492408
7.1,20492400
998.5,20491502
7.5,20491291
6.0,20491232
22.0,20491125
9.9,20491086
9.0,20491003
22.0,20490346
22.0,20490251
15.0,20490092
15.0,20489914
15.0,20489893
20.0,20489009
10.0,20488197
7.1,20488196
19.9,20487908
0.0,20487691
15.0,20487483
15.0,20487280
15.0,20487250
15.0,20487192
6.7,20487061
7.2,20486518
20.0,20486133
19.9,20485328
0.0,20485298
8.1,20485209
7.1,20485043
7.7,20484090
7.7,20484042
20.0,20483859
7.6,20483813
5.5,20483355
8.9,20483064
8.9,20483036
0.0,20483019
8.9,20483000
9.0,20482859
0.0,20482521
6.0,20481187
6.5,20480257
9.5,20480220
9.4,20480178
15.0,20480174
15.0,20480165
0.0,20479850
19.9,20479226
9.5,20479167
9.4,20479166
7.4,20479146
7.2,20478808
19.9,20478672
15.0,20478110
15.0,20478107
7.7,20477548
8.9,20477408
7.0,20477275
15.0,20476998
20.0,20476796
3.2,20476687
20.0,20476678
5.4,20475618
5.4,20475617
5.2,20475614
0.0,20475517
1.0,20475039
2.3,20475023
0.0,20475018
0.8,20474069
0.9,20473426
0.9,20472277
0.8,20472048
8.0,20472023
10.0,20471985
10.0,20471980
10.0,20471969
10.0,20471964
49.0,20471709
998.0,20471697
8.0,20471343
9.7,20471342
7.5,20471320
49.0,20471001
0.9,20469772
49.0,20469443
49.0,20469398
2.7,20468950
15.6,20468838
1.4,20468340
49.0,20468224
4.9,20467849
1.1,20467272
1.2,20467264
1.0,20467259
50.0,20467022
50.0,20466805
8.0,20466788
50.0,20466181
6.8,20465989
1.7,20465746
18.9,20464810
18.9,20464806
18.9,20464795
18.9,20464791
18.9,20464786
18.3,20464599
1.0,20464310
6.8,20464004
6.7,20463998
6.7,20463998
19.0,20463977
5.0,20463960
3.0,20463713
0.9,20463619
19.0,20463557
57.0,20463157
8.1,20463136
8.0,20462857
1.0,20462343
34.0,20462029
1.0,20460908
1.0,20460899
8.0,20460895
33.2,20460857
33.2,20460826
34.0,20460665
68.0,20460449
7.5,20460036
7.5,20460033
6.7,20460030
7.5,20460028
12.8,20459757
34.0,20459644
8.0,20459623
8.0,20459616
7.0,20459132
7.0,20459132
7.0,20459049
5.8,20458796
6.2,20458762
4.5,20458621
8.0,20458549
7.0,20458521
1.0,20458475
13.0,20458456
4.6,20457392
7.2,20457066
8.0,20456313
6.2,20456295
1.1,20456018
30.1,20455953
30.6,20455632
30.9,20455387
10.0,20454322
299.9,20454281
33.6,20453353
199.9,20453134
8.0,20453036
7.1,20452655
8.0,20452650
5.0,20452552
8.0,20452338
8.5,20451578
5.1,20451104
5.1,20451103
5.1,20450999
5.0,20450525
7.1,20449995
1.1,20447968
1.1,20447848
9.6,20447404
28.3,20447138
28.8,20446733
6.0,20446724
6.0,20446633
1.0,20446559
4.4,20446187
7.7,20445340
8.3,20445256
7.3,20445239
6.0,20444753
8.3,20444693
10.0,20444493
5.6,20444463
33.8,20444424
3.5,20443439
7.0,20443386
6.7,20442103
6.0,20441972
21.8,20441972
0.8,20441954
0.9,20441284
19.9,20440735
119.9,20440493
6.0,20439747
12.0,20438079
1.8,20438064
0.7,20437757
0.7,20437743
3.3,20436965
5.0,20436747
22.9,20436596
4.4,20436272
5.4,20436268
9.8,20436219
23.5,20436213
0.8,20435044
7.6,20434920
7.7,20434879
24.7,20434842
24.7,20434679
7.3,20434290
24.7,20433272
0.3,20433271
3.8,20433265
24.7,20433263
24.8,20431213
299.9,20431050
299.9,20430970
5.5,20430888
5.6,20430856
0.8,20430588
199.9,20430235
24.8,20430086
0.5,20429801
25.2,20429524
28.6,20428880
7.2,20427961
7.2,20427857
7.3,20427851
10.0,20427803
34.0,20427702
1.4,20427682
1.7,20427673
0.9,20427654
34.0,20427548
0.8,20427488
0.8,20427404
0.8,20427369
6.0,20427316
6.0,20427313
0.0,20427304
1000.0,20427299
1.0,20427294
3.9,20426565
4.0,20426092
7.1,20426036
0.0,20424866
0.4,20423856
0.1,20422616
0.9,20422525
0.4,20421814
34.0,20421478
7.7,20421465
27.6,20421268
9.9,20420934
9.9,20420806
3.0,20419945
2.3,20419927
3.5,20419888
9.0,20419581
7.5,20419518
7.6,20419346
7.6,20419345
7.1,20419237
7.0,20419097
15.6,20418866
7.5,20418807
7.2,20418445
34.0,20418344
34.0,20418332
34.0,20417547
0.4,20417400
7.4,20417324
33.6,20416759
33.6,20416576
0.9,20415125
0.8,20415033
0.7,20414359
0.3,20414034
8.6,20413582
10.0,20413466
8.0,20412254
8.0,20412254
2.9,20412087
0.3,20412077
0.5,20411518
500.0,20411450
0.6,20411255
8.0,20411050
1.3,20410736
29.0,20410609
0.6,20410419
28.8,20410327
28.6,20410256
399.0,20410251
0.3,20410148
28.8,20409682
0.5,20409652
0.7,20409099
29.0,20408629
7.7,20408198
7.5,20408159
6.6,20407853
0.7,20407069
10.0,20407068
0.2,20406602
7.6,20405940
29.0,20405672
8.0,20405337
8.0,20405301
199.9,20405179
7.5,20404857
10.0,20404615
18.0,20404612
7.6,20404611
18.0,20404602
0.0,20402606
18.0,20402592
18.0,20402553
17.8,20401875
2.2,20401856
17.8,20401593
17.8,20401150
17.8,20400879
0.0,20400781
0.0,20400771
0.0,20400771
0.0,20400771
0.0,20400748
0.6,20400063
0.7,20399854
2.3,20399597
2.1,20399491
0.0,20398756
19.7,20397858
19.7,20397839
0.7,20397771
19.7,20397613
0.6,20397006
19.7,20396669
0.8,20396607
3.0,20396082
2.7,20395913
19.7,20395913
0.6,20395850
1.7,20395603
1.8,20395592
6.6,20395134
6.7,20395128
19.9,20394706
19.9,20394643
19.9,20394499
19.9,20393877
0.7,20393739
0.2,20393655
0.3,20393505
0.4,20393301
2.6,20392954
0.0,20392941
0.0,20392940
0.6,20392884
9.9,20392585
0.0,20392510
1000.0,20392284
85.0,20391996
7.6,20391976
19.9,20390681
10.0,20390604
10.0,20390595
9.9,20390520
0.0,20390512
0.0,20390316
9.9,20389959
0.0,20389954
85.9,20389931
0.0,20389774
19.9,20389499
0.6,20389366
9.9,20389012
0.0,20388848
0.6,20388815
0.6,20388751
0.7,20388259
0.0,20387969
0.0,20387900
0.0,20387532
11.6,20387517
0.0,20387482
0.0,20386545
1.8,20386140
10.4,20385747
1.2,20385419
8.0,20385065
0.0,20385047
0.0,20385032
7.9,20384808
0.0,20384547
99.0,20384143
9.9,20382904
9.9,20382897
0.0,20382780
7.0,20382345
8.0,20382242
10.0,20381092
0.6,20381068
7.7,20380735
0.0,20380529
0.0,20380492
12.6,20380370
12.6,20378272
0.1,20378265
0.2,20378071
0.0,20377877
0.0,20377863
0.0,20377515
2.2,20376348
8.0,20375844
0.4,20375509
1.2,20374649
8.0,20374547
5.7,20374174
15.1,20373547
199.9,20373400
3.0,20373352
3.0,20373324
8.0,20373171
8.0,20373166
16.7,20373141
16.7,20373136
3.1,20372282
7.9,20371091
3.4,20370386
3.4,20370386
10.0,20370380
9.1,20369993
3.7,20369721
999.4,20369606
3.7,20369301
14.9,20369069
14.9,20369066
14.9,20368963
14.9,20368479
3.5,20368329
9.2,20368160
0.0,20367886
5.7,20367862
1.8,20367808
7.4,20366961
38.8,20366726
4.1,20366456
3.5,20366145
0.0,20366106
3.1,20366104
4.1,20365930
0.0,20364858
0.0,20363721
0.0,20363716
10.0,20361231
10.0,20361224
0.0,20361220
8.8,20361162
0.0,20360755
8.9,20360697
23.0,20360038
9.2,20359977
0.0,20359657
14.9,20359213
14.9,20359137
997.9,20359133
23.0,20359116
8.2,20359109
8.2,20359108
8.3,20358998
3.6,20358937
0.0,20357912
3.8,20357690
0.0,20357548
14.8,20356841
0.0,20356770
0.0,20356763
9.1,20356171
0.0,20355558
6.4,20355558
0.0,20355558
4.3,20355521
0.0,20355482
9.2,20355105
8.7,20354709
14.9,20354488
0.0,20353291
9.1,20352726
9.1,20352700
9.0,20352688
9.3,20351823
3.9,20351461
0.0,20351088
0.0,20350445
0.0,20350341
0.0,20350053
0.0,20350019
14.9,20348596
14.9,20348582
0.0,20348454
14.9,20348066
4.5,20347925
4.5,20347620
0.0,20347215
4.3,20347074
14.9,20347036
0.0,20347032
6.9,20346738
999.0,20346102
0.0,20345569
0.0,20343272
0.0,20343176
0.0,20343169
0.0,20342775
23.0,20342730
9.8,20342722
0.0,20342715
0.0,20342551
0.0,20342550
0.0,20342548
3.3,20342526
23.5,20342516
23.5,20342500
3.5,20342164
0.0,20341997
14.9,20341413
3.8,20341170
14.9,20340885
0.0,20340645
4.3,20340100
3.7,20340045
4.4,20339708
14.9,20339519
4.2,20339367
0.0,20339225
4.5,20338366
0.0,20338249
9.2,20336785
23.0,20336094
23.0,20336088
23.0,20336081
23.0,20336070
23.0,20336005
23.0,20335763
23.0,20335704
23.0,20335629
0.0,20335426
8.9,20335044
9.1,20334652
8.7,20333193
23.7,20333186
23.7,20333185
8.8,20332864
23.7,20332850
23.7,20332726
0.0,20332375
10.0,20332169
7.1,20330949
1.7,20330869
1.9,20330869
9.8,20330379
9.8,20330017
9.9,20330016
24.0,20329916
79.9,20329561
8.5,20329472
8.0,20329312
0.0,20329159
7.1,20328963
7.5,20328445
0.0,20327825
0.6,20327802
24.0,20327437
1000.0,20327268
24.0,20327138
6.4,20327126
6.4,20327119
6.7,20326497
6.5,20326428
23.0,20326190
7.6,20325157
10.0,20324989
10.0,20324898
23.0,20324515
23.0,20324509
23.0,20324502
19.0,20324365
19.0,20324349
399.0,20323046
3.4,20322505
